sim_id	d	r	kmercov	bias	length	kmercov1	kmercov2	bias.1	length.1	het	CI_l_prop	CI_u_prop	theta	X	maternal	paternal	mapping_monosomic	mapping_disomic	simulated_sperm	two_tissue_sperm	mapping_sperm
95194	0.00369443806840286	0.00338876081838239	7.1594830980212	0.0114047991406171	18333701.4815082	6.86406533855228	14.2811892019093	0.0350048643644385	19606252.3228722	0.120359905842335	0.469882442454377	0.491391194006461	1e-04	2	10	9.9	9.92204844823158	20.198755723283	0.01	-0.0805730274300371	-0.0357445167366675
95195	0.00356292494602097	0.00339511215685855	7.1651109869157	0.0157498199818288	18336610.0760227	6.82791823556564	14.2866799372004	0.0417901474895359	19620639.1439342	0.119530332262791	0.466842390373523	0.48900155175704	0.001	2	10	9.9	9.85211976602583	20.0907666246774	0.01	-0.0923917721778136	-0.0392328861001716
95196	0.0042158286016166	0.00335667293345698	7.15115217362241	0.0141571095000423	18362839.9029914	6.88128909421111	14.2689725614345	0.0368003561802527	19615058.5723246	0.119897260448301	0.471651094610283	0.492859708754708	0.003	2	10	9.9	10.0022725465995	20.2120195586619	0.01	-0.0735900448417848	-0.0207427326636322
95197	0.00375541133080864	0.00338627858838306	7.16478428065864	0.0130203846426922	18330484.2755222	6.86389354428126	14.291267656636	0.0370351724998864	19602234.4067231	0.120145734665221	0.469666595471523	0.490905091966448	0.005	2	10	9.9	10.0894814040533	20.0833321779236	0.01	-0.0820934305636123	0.0094782503037848
95198	0.00319342169260384	0.00830854329070402	7.17211616014094	0.0232447927444978	16880174.8492806	6.99312022867551	14.3015180439179	0.0413278868977909	19636616.1921053	0.269206099824871	0.485826325735078	0.492128630822772	1e-04	5	10	9.9	9.90511608065655	20.1848399094566	0.01	-0.0450839648479193	-0.0378196222127132
95199	0.0035565243325951	0.00829346025262662	7.16025195083232	0.016473416751724	16900062.6119377	6.99950145864407	14.2834020779961	0.033911211203828	19646716.5429151	0.269592363512817	0.486805996833107	0.493282839205044	0.001	5	10	9.9	9.97546866466294	20.1217240379312	0.01	-0.0406313453019915	-0.0171206701505984
95200	0.00310637878945089	0.0084072764270884	7.18083859211702	0.0217764804637796	16864070.9398691	7.01677748936738	14.3227749082455	0.0385735304606308	19643555.1616314	0.272429579376599	0.486513583587131	0.49329340693227	0.003	5	10	9.9	9.95757397180666	20.3017168695409	0.01	-0.0412183413182188	-0.0388215972105346
95201	0.00231752310382808	0.00834262468164079	7.17115861151021	0.0211473880905314	16911844.0810299	7.00063018573521	14.3001465005352	0.0374274386479601	19686827.8700482	0.270393681966822	0.486236109542625	0.492862976676272	0.005	5	10	9.9	9.99441949069165	20.3504989657463	0.01	-0.0426941748292611	-0.0361861921745266
95202	0.480516138757708	0.000517766524766093	3.59672705492979	6.11431343997913e-05	19453247.1704109	7.04645502789681	14.3370825353171	0.0277595802776533	19718534.4515872	0.519757656847478	0.490282131665856	0.49268703385844	1e-04	10	10	9.9	9.87961369510805	19.9740605119454	0.01	-0.0346518183337301	-0.0217450933163181
95203	0.482091444016992	0.000608293857304066	3.60928346775655	7.11141318470999e-06	19402607.527468	7.05153658966965	14.3707042281455	0.0337499722144017	19714379.6137184	0.51857872798377	0.489502892439586	0.491873730128287	0.001	10	10	9.9	9.86452629330869	19.8539189128623	0.01	-0.0379535786850025	-0.0126581168250948
95204	0.48272953891477	0.000603712686449223	3.60420784133916	2.03867712977033e-05	19395573.7500078	7.05004933319144	14.3438242051482	0.0392513044751412	19701759.3196601	0.518066498874743	0.490092947340958	0.492915381868919	0.003	10	10	9.9	10.063458135225	19.8441548632413	0.01	-0.0345707564935562	0.0280978370863345
95205	0.483595337029426	0.00053498292247567	3.59482444755208	1.2965443836311e-05	19438173.9696559	7.03720830118572	14.3239503552062	0.0277587634152455	19707594.9933699	0.516671324297307	0.489835016475905	0.49274424785783	0.005	10	10	9.9	9.97200590517945	20.2408769661364	0.01	-0.035459196623854	-0.0297698535881641
95206	0.00433826816684806	0.00183787481051668	6.99220682797756	0.0197128346847343	18873860.9704866	6.51377426178637	13.9519552140146	0.04290468444292	19581320.0961185	0.06466430711234	0.44669269217964	0.487050881659153	1e-04	1	10	9.5	10.07992447663	19.8428670095348	0.05	-0.141915677960314	0.0314468570136723
95207	0.00372016571617863	0.00200372515847571	7.02097231154521	0.0101698972267599	18827236.0782567	6.69861540441139	14.0178045888498	0.0280235206940556	19591747.6808105	0.0728625813053397	0.457615806567864	0.498113796017649	0.001	1	10	9.5	9.67128862286601	19.5877591554333	0.05	-0.0926420972934707	-0.0253515244206022
95208	0.00318403243018137	0.00195490306132094	7.00966547017813	0.0226851018328174	18867256.86574	6.77981669176121	14.0024927776086	0.0361893515158	19610777.6263024	0.0726929665039788	0.46346184205166	0.504910975480204	0.003	1	10	9.5	9.94120168495221	19.6614977704506	0.05	-0.0653202607416126	0.0222212169569197
95209	0.00365771105220317	0.00188416861124925	7.00216308738572	0.0210151514957807	18877670.02183	6.59977271743426	13.9755249249267	0.0411783649971366	19605034.5447819	0.0673867827328183	0.45003526135356	0.494440563760231	0.005	1	10	9.5	10.3156369767078	19.7369007612164	0.05	-0.117576698968484	0.0867007237864856
95210	0.00250689999491038	0.00323240865025282	7.00311417619842	0.0390631513300727	18413144.4841163	6.86428254623982	13.9886805280972	0.0516482556637302	19618952.5489517	0.118994101628839	0.47985451945293	0.501550772125848	1e-04	2	10	9.5	9.79001108960342	19.7126918893291	0.05	-0.0378940455707275	-0.013551538288159
95211	0.0031379545405331	0.00328466144308373	7.00881294580181	0.021504853717484	18391947.7808719	7.82011541969907	14.1476935690641	5.73512302550896e-05	19471148.5878145	0.145554157482981	0.530635266554924	0.574861595039371	0.001	2	10	9.5	9.99245955847449	19.7780108934454	0.05	0.190858726531619	0.0207064359172815
